"variable_id","unit","full_name","explanation","fc","p_value","p_value_adjust"
"TPTG","mg/dL","Triglyceride",NA,0.849097409541443,0.0989943615739775,0.165483111884858
"TPCH","mg/dL","Cholesterol",NA,1.10679051919361,0.0281213976057606,0.0749903936153616
"LDCH","mg/dL","LDL-Cholesterol",NA,1.18208734488976,0.015261971896073,0.0461984014151399
"HDCH","mg/dL","HDL-Cholesterol",NA,1.08993761366514,0.0531467966550299,0.116714533830654
"TPA1","mg/dL","Apo-A1",NA,0.996189357493889,0.90521905762132,0.947519013584933
"TPA2","mg/dL","Apo-A2",NA,0.903214144590266,0.00231867662427055,0.00998814545839624
"TPAB","mg/dL","Apo-B100",NA,1.07943516957601,0.188372355182423,0.270483381800402
"LDHD","-/-","LDL-Chol/HDL-Chol",NA,1.08385481852315,0.274157171147905,0.346925087275474
"ABA1","-/-","Apo-B100/Apo-A1",NA,1.08176470588235,0.268277037081223,0.345368139690769
"TBPN","nmol/L","Total Particle Number","Total Concentration of Apo-B100 carrying Particles",1.0794411371857,0.188332937251917,0.270483381800402
"VLPN","nmol/L","VLDL Particle Number",NA,0.809013189341144,0.0511900889953531,0.114768819912265
"IDPN","nmol/L","IDL Particle Number",NA,0.802474892764933,0.0461527250137236,0.112461082101392
"LDPN","nmol/L","LDL Particle Number",NA,1.15701286156518,0.0214804741146417,0.0601453275209969
"L1PN","nmol/L","LDL-1 Particle Number",NA,1.26755037836919,0.00167221603942592,0.00780954192524401
"L2PN","nmol/L","LDL-2 Particle Number",NA,1.62104771231363,4.96524391770101e-05,0.00139026829695628
"L3PN","nmol/L","LDL-3 Particle Number",NA,1.37736052469608,0.00047103453596044,0.00317864302145043
"L4PN","nmol/L","LDL-4 Particle Number",NA,0.896229456213825,0.177033399858711,0.260976771585745
"L5PN","nmol/L","LDL-5 Particle Number",NA,0.86971103622264,0.0970740764172641,0.164829086636776
"L6PN","nmol/L","LDL-6 Particle Number",NA,1.10939640724217,0.169754154585012,0.256925206939477
"VLTG","mg/dL","VLDL-Triglyceride",NA,0.791585159643248,0.0498030098328123,0.114768819912265
"IDTG","mg/dL","IDL-Triglyceride",NA,0.693673695893452,0.123537399187184,0.200524474042966
"LDTG","mg/dL","LDL-Triglyceride",NA,1.02813683729568,0.613265343081344,0.673389396324613
"HDTG","mg/dL","HDL-Triglyceride",NA,0.930306759651762,0.281876633411322,0.346925087275474
"VLCH","mg/dL","VLDL-Cholesterol",NA,0.807682048546279,0.090329346808288,0.160585505436957
"IDCH","mg/dL","IDL-Cholesterol",NA,0.876745341614907,0.281314902312077,0.346925087275474
"VLFC","mg/dL","VLDL-Free Cholesterol",NA,0.848476847420707,0.0936998301597005,0.163974702779476
"IDFC","mg/dL","IDL-Free Cholesterol",NA,0.827537461125247,0.157383664310588,0.244819033372026
"LDFC","mg/dL","LDL-Free Cholesterol",NA,1.19652592397639,0.00263611892742673,0.0109350118471035
"HDFC","mg/dL","HDL-Free Cholesterol",NA,1.16207278675837,0.00516083068680323,0.0192671012307321
"VLPL","mg/dL","VLDL-Phospholipids",NA,0.827958193953168,0.0679206995993769,0.135841399198754
"IDPL","mg/dL","IDL-Phospholipids",NA,0.908657272876802,0.444218904740717,0.497525173309603
"LDPL","mg/dL","LDL-Phospholipids",NA,1.15811515634233,0.0112935102575494,0.0361392328241581
"HDPL","mg/dL","HDL-Phospholipids",NA,1.05149283705985,0.242538076595081,0.323384102126774
"HDA1","mg/dL","HDL- Apo A1",NA,0.998170978500885,0.956640820418172,0.982970384282892
"HDA2","mg/dL","HDL- Apo A2",NA,0.901992357623187,0.00122105933719367,0.00621630208025866
"VLAB","mg/dL","VLDL- Apo B100",NA,0.809047619047619,0.0512360803179756,0.114768819912265
"IDAB","mg/dL","IDL- Apo B100",NA,0.802493765586035,0.0461893730059288,0.112461082101392
"LDAB","mg/dL","LDL- Apo B100",NA,1.15701645344917,0.021476055164722,0.0601453275209969
"V1TG","mg/dL","VLDL-1-Triglyceride",NA,0.635273400460559,0.0118560185150241,0.0368853909356306
"V2TG","mg/dL","VLDL-2-Triglyceride",NA,0.961325216067837,0.741861660097884,0.798927941643875
"V3TG","mg/dL","VLDL-3-Triglyceride",NA,1.00015616215879,0.998871656690402,0.998871656690402
